"","name","Cer16","Cer18","Cer20","Cer22","Cer24:0","Cer24:1"
"1","Min",0.35857391876084,0.240028753355098,0.207528493070431,0.551173696503512,1.48856255139379,0.97429923409345
"2","Q1",0.656525984918984,0.445307561756264,0.508026029388793,1.94906201335808,5.46261377561903,3.36713131916073
"3","Median",0.756862805301835,0.543869342948973,0.609419230053135,2.44761114094864,7.39128620575571,4.14320707630415
"4","Q3",0.868848199981737,0.605003842389799,0.757735217205638,3.40491228950379,11.4695110763449,5.21973362449686
"5","Max",1.07438982869129,1.01296860536856,1.34547432129288,6.63485910438773,23.441675829191,8.86981402986703
"6","LiraPre_Mean",0.748316344813871,0.546495996158526,0.644448002121871,2.62047533495713,8.77292454521115,4.15610689234136
"7","LiraPre_SD",0.162111866784699,0.164061810873404,0.230115402642621,1.0902832676813,4.82370077301976,1.3598129997089
"8","LiraPost_Mean",0.732143044371512,0.533541306236127,0.61977846721927,2.47789598332255,7.98392710253975,4.37265421096362
"9","LiraPost_SD",0.148944514492999,0.153188759472757,0.226847868877238,1.18221973536129,4.32908864958521,1.82897666251598
"10","Change_Lira_meandif",-0.00974590102804468,-0.0121266281812944,-0.0214552460834519,-0.193785549049999,-1.15203501348203,0.0762289656120546
"11","Change_Lira_CIlower",-0.0558485079914669,-0.0679841433087202,-0.105913290510488,-0.606662329457205,-3.09798009607367,-0.48766098688852
"12","Change_Lira_CIupper",0.0363567059353775,0.0437308869461314,0.0630027983435846,0.219091231357207,0.793910069109605,0.640118918112629
"13","Change_Lira_pval",0.665365282077665,0.656945421626134,0.603580320534584,0.340945480163934,0.232508071446991,0.781824776257308
"14","Percent_change_Lira",-0.793722704923166,-0.20153578269521,0.394421705609541,-3.25014825088267,-3.34774254706185,1.73929988394865
"15","PlaceboPre_Mean",0.752011068256786,0.549900286323008,0.66532052676489,2.79676087497802,9.62003191315675,4.35711770463509
"16","PlaceboPre_SD",0.171041142421019,0.14076156250555,0.23907721697666,1.24574580842141,5.65966189148833,1.69869072031338
"17","PlaceboPost_Mean",0.772075776827318,0.553421510878734,0.666543957952412,2.82948501286235,9.4993130580992,4.34435035630517
"18","PlaceboPost_SD",0.167347653079308,0.142382784537443,0.26420864139794,1.35676644771518,5.44509572546132,1.55657952462628
"19","Change_Placebo_meandif",0.020064708570532,0.003521224555726,0.0012234311875224,0.0327241378843237,-0.120718855057547,-0.0127673483299302
"20","Change_Placebo_CIlower",-0.0162241494162096,-0.0302255827685487,-0.0620175081006061,-0.291634596274147,-1.43543601082722,-0.380228857594809
"21","Change_Placebo_CIupper",0.0563535665572737,0.0372680318800007,0.0644643704756509,0.357082872042794,1.19399830071212,0.354694160934948
"22","Change_Placebo_pval",0.266099469417038,0.831846860933302,0.968583972157382,0.837329025551388,0.851761271450195,0.943610986661669
"23","Percent_change_Placebo",3.61271505033346,1.93465645629077,2.98269948005861,4.70524668893652,7.2832829210514,3.03777702059221
"24","EndVsEnd_meandif",-0.0387608928683845,-0.019085477489001,-0.0457825911517762,-0.380752012480528,-1.72916609655433,-0.0979334882216556
"25","EndVsEnd_CIlower",-0.075372354969655,-0.0711332550405034,-0.141778130821735,-0.809960421932498,-3.41846961840677,-0.705176435738885
"26","EndVsEnd_CIupper",-0.00214943076711394,0.0329623000625013,0.0502129485181832,0.048456396971441,-0.0398625747018848,0.509309459295574
"27","EndVsEnd_pval",0.0389584349014256,0.455046395838279,0.333378188873424,0.0793399630737422,0.0452618694402807,0.741196225430844
"28","EndVsEnd_AbsolutDiff",-0.0387608928683845,-0.019085477489001,-0.0457825911517762,-0.380752012480528,-1.72916609655433,-0.0979334882216556
"29","EndVsEnd_PercentDiff",-4.61744399694592,-2.46727984755889,-0.830347885472546,-5.97373463892799,-7.5263049884256,-0.133355193177758
"30","Effect_Size",-0.252079020757004,-0.134430613305304,-0.189919989603793,-0.276300157307346,-0.308077586749825,0.016666498367748
